Date,Open,High,Low,Close,Adj Close,Volume
2012-04-02,4222.200195,4257.100098,4219.950195,4246.950195,4246.944824,5037400
2012-04-03,4266.250000,4295.600098,4266.250000,4283.100098,4283.094238,5457300
2012-04-04,4266.700195,4272.299805,4246.850098,4262.200195,4262.194824,4740000
2012-04-09,4240.049805,4240.049805,4189.399902,4193.899902,4193.894531,4205800
2012-04-10,4204.750000,4207.399902,4172.149902,4196.700195,4196.694824,5440700
2012-04-11,4177.899902,4210.000000,4161.799805,4179.399902,4179.394531,5470000
2012-04-12,4190.299805,4227.899902,4190.299805,4216.549805,4216.544434,5258700
2012-04-13,4205.100098,4245.700195,4163.049805,4169.549805,4169.544434,5451000
2012-04-16,4160.350098,4189.950195,4160.350098,4186.700195,4186.694824,4097500
2012-04-17,4208.750000,4235.850098,4178.549805,4232.100098,4232.094727,5698600
2012-04-18,4249.049805,4274.750000,4237.799805,4242.000000,4241.994629,5880100
2012-04-19,4253.250000,4266.200195,4236.649902,4259.899902,4259.894531,4790700
2012-04-20,4249.799805,4263.500000,4198.549805,4226.350098,4226.344727,4923200
2012-04-23,4219.000000,4243.649902,4146.899902,4154.850098,4154.844727,4783500
2012-04-24,4163.200195,4172.700195,4135.450195,4164.000000,4163.994629,4734800
2012-04-25,4163.700195,4177.850098,4117.500000,4146.299805,4146.294434,5056500
2012-04-26,4153.200195,4155.600098,4129.350098,4133.149902,4133.144531,6596000
2012-04-27,4133.250000,4161.149902,4106.200195,4131.149902,4131.144531,5060600
2012-04-30,4143.149902,4186.399902,4143.149902,4178.350098,4178.344727,4762800
2012-05-02,4182.000000,4203.299805,4163.799805,4171.299805,4171.294434,5023600
2012-05-03,4155.750000,4155.750000,4123.049805,4128.649902,4128.644531,4934500
2012-05-04,4116.500000,4118.899902,4039.449951,4050.850098,4050.844727,5966800
2012-05-07,4012.300049,4081.649902,3973.750000,4074.949951,4074.944580,6511300
2012-05-08,4075.399902,4085.550049,3979.850098,3992.550049,3992.544922,5777700
2012-05-09,3974.649902,3999.649902,3952.449951,3963.699951,3963.694824,5886800
2012-05-10,3968.850098,4012.050049,3948.550049,3959.600098,3959.594971,5526500
